RQ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2019/3/12,71210.16406,70322.19678,69398.51465,68937.84278,69384.21436,70737.11621,73755.58203,74616.41504,75457.43115,74668.91309,74658.84082,73619.76807,72246.71045,72113.29785,72168.09815,72442.30176,73489.76709,74493.22412,75836.06787,77490.95898,76706.00391,75473.79053,73403.19336,72117.61475
2019/3/13,70379.0376,69589.16406,69422.99805,69215.73047,69436.23926,70782.97559,73094.22266,74174.05274,75630.45898,75650.09229,75950.83398,76026.11914,74476.97852,74369.55664,74190.5586,74429.81397,76044.57422,76613.78076,77470.0293,78878.02588,78547.69629,76551.54492,74645.84619,72848.8208
2019/3/14,71220.7417,70220.4292,69319.78809,69012.69824,69141.375,70552.3457,73471.5127,74394.15332,74529.86377,74004.78711,73527.10352,73061.79981,72249.84619,72352.50586,72239.76709,72238.02246,74092.55176,74850.43555,76246.41309,77934.78857,77659.10449,75898.87305,74139.61963,72494.47168
2019/3/15,71167.22852,69950.61621,69582.82617,69077.72705,69315.35645,70532.22412,73258.38184,73847.05957,74998.95947,74852.99658,74858.10938,73959.53027,72478.22461,72412.95898,72449.01953,72952.65039,74662.80371,75780.21338,76475.22705,78221.26514,78011.33057,76575.44238,74679.86231,72852.83594
2019/3/16,71080.46631,69926.17676,69498.74414,69394.41992,69348.43799,70183.06641,71569.99805,73152.37402,74033.91016,73816.59229,73670.23731,73292.47168,72044.31738,71690.83984,71771.57031,71606.31738,73773.12305,75072.354,76143.13281,77726.63867,77760.80762,76369.81299,74140.78076,72600.19092
2019/3/17,70920.896,69678.8252,68895.14063,68528.78711,68576.01172,69321.25781,70758.94531,72522.21387,73802.77344,74520.19775,74569.37207,73877.53223,73242.8623,73057.45752,72626.10449,73199.09668,74440.4541,75136.57129,76248.00781,77147.66064,77511.84033,75898.03467,73444.52344,71737.4707
2019/3/18,70141.47705,69010.22949,68520.3877,68062.94336,68294.73535,69542.56445,72674.75781,73346.12842,73776.90137,73103.72754,73190.30176,72736.87842,71522.89746,71109.80908,71193.03125,71399.48584,73263.35791,74208.48535,75162.48926,77144.27539,76776.71192,74930.29981,72647.05762,70448.14307
2019/3/19,68710.21777,68078.57764,67314.23779,67021.86035,67034.5625,68822.50977,71432.10254,72020.59473,72581.41162,72324.39844,73637.73731,73247.43994,71890.0835,71792.13477,71823.83203,72457.83057,74364.2207,74680.97754,74959.67773,76558.29443,76606.74707,74789.51172,73056.91064,71279.25488
2019/3/20,69776.75293,68180.5293,67999.98731,67511.23096,67469.51074,68379.91895,71517.15234,71565.6748,72324.8667,72376.17822,72422.36328,72208.66016,71602.03076,71494.73242,71687.28223,71872.00391,73514.78565,74161.50195,75264.71973,76557.61475,76172.71582,74534.55566,72474.13135,71053.01563
2019/3/21,69184.1084,68167.60498,67446.21094,67277.75391,67214.67725,68498.21582,71000.99219,71965.58252,72785.08398,72881.9209,73048.45996,72672.61231,71965.91357,72049.23877,71960.09668,72412.20703,74383.47461,75343.29981,75551.55762,76837.47559,76829.38672,75302.72754,73228.52637,71754.48828
2019/3/22,69621.6958,68731.39649,68317.1499,67944.50098,68382.61377,69833.8125,72881.50098,72399.71094,73431.10449,74241.94238,74390.16455,73921.75391,72954.1709,72248.68652,72033.60937,72553.81934,74216.81152,74796.46143,75367.17481,77001.51758,77079.57715,75995.12451,74056.21924,72381.2461
2019/3/23,70944.44629,69462.74317,69544.14746,68921.60303,69085.57813,69526.54297,71456.35645,72624.87891,73326.37305,73666.10742,73497.63672,73351.97656,72533.50098,72208.39063,71851.08984,72080.92822,74035.53906,75001.46533,75807.2915,77651.41211,77646.85742,76145.48291,74046.94727,72158.90869
2019/3/24,70893.06348,69583.53858,68895.8418,68123.5669,68516.42822,69394.14063,71237.30078,72179.38574,73558.26709,73961.54443,74049.60938,72953.69238,72394.93262,72095.89649,71894.87354,71895.54492,73458.13086,73905.73828,75073.61621,77665.63525,77638.25195,76271.32666,73770.03662,71827.45947
2019/3/25,70336.75,69089.36475,68557.43018,67769.89649,68135.23877,69802.271,73025.42285,72795.30615,73290.31152,73378.28369,73560.61328,73053.59668,71929.58105,71362.8125,71556.1294,72120.55615,73863.95703,74441.62207,74950.0293,76923.46143,76614.91602,75303.61719,73245.36133,71632.70605
2019/3/26,69820.75684,68915.69727,68428.56445,67471.17334,67782.13428,69455.18652,72621.93848,72248.07617,73109.73633,72483.09229,72814.11768,72212.01221,71114.7832,71321.09717,71365.41357,71807.09863,73777.4834,74310.60742,74722.41504,76323.36279,76060.14209,74398.12207,72558.37402,70695.57764
2019/3/27,69491.27588,68065.50977,67749.31348,67692.59082,68004.39014,69276.04932,72263.68359,72779.39844,73298.32227,73158.02246,73928.87891,73210.93262,71884.19678,71952.2666,71799.67383,72314.81641,73728.23438,74458.24072,74713.08545,76072.16602,76087.47022,74459.16699,72202.04541,70498.82324
2019/3/28,68973.65576,67803.66797,67156.3125,66688.20703,66948.43603,68506.06445,71500.90039,71261.00586,71627.67285,71435.6709,71854.22559,72122.5083,70542.56836,70593.2334,70737.82568,70962.32813,72659.47168,73091.24072,74214.12402,75676.16309,75504.14453,73734.68115,71861.10449,70417.87891
2019/3/29,68733.36328,67934.98242,67082.60742,66414.74072,67212.97754,69052.97559,71932.46582,71449.16016,71868.93555,72098.64697,72858.10596,72550.67578,71147.39941,70786.07617,70896.20361,71098.56055,72502.76904,72994.96094,73600.19092,75547.91406,75406.07715,73842.46484,72230.66553,71089.38672
